Mach,Alpha,CD,CD power off,Cd power on,CA power off,CaA power on,CL,CN,CN Potential,CN Viscous,CNalpha(0 to 4 deg/ rad),CP,CP(0 to 4 deg),Reynolds Number 
2.69,0,0.694,0.694,0.64,0.694,0.64,0,0,0,0,11.617,161.091,154.814,"343,816,800"
2.7,0,0.692,0.692,0.639,0.692,0.639,0,0,0,0,11.588,160.956,154.724,"345,094,900"
2.71,0,0.69,0.69,0.638,0.69,0.638,0,0,0,0,11.559,160.82,154.634,"346,373,100"
2.72,0,0.689,0.689,0.637,0.689,0.637,0,0,0,0,11.531,160.685,154.544,"347,651,200"
2.73,0,0.687,0.687,0.635,0.687,0.635,0,0,0,0,11.502,160.549,154.453,"348,929,300"
2.74,0,0.686,0.686,0.634,0.686,0.634,0,0,0,0,11.474,160.413,154.363,"350,207,400"
2.75,0,0.684,0.684,0.633,0.684,0.633,0,0,0,0,11.445,160.277,154.273,"351,485,600"
2.76,0,0.683,0.683,0.632,0.683,0.632,0,0,0,0,11.417,160.141,154.183,"352,763,700"
2.77,0,0.682,0.682,0.631,0.682,0.631,0,0,0,0,11.389,160.005,154.092,"354,041,800"
2.78,0,0.68,0.68,0.629,0.68,0.629,0,0,0,0,11.36,159.869,154.002,"355,319,900"
2.79,0,0.679,0.679,0.628,0.679,0.628,0,0,0,0,11.332,159.733,153.911,"356,598,100"
2.8,0,0.677,0.677,0.627,0.677,0.627,0,0,0,0,11.304,159.596,153.821,"357,876,200"
2.81,0,0.676,0.676,0.626,0.676,0.626,0,0,0,0,11.276,159.46,153.73,"359,154,300"
2.82,0,0.674,0.674,0.625,0.674,0.625,0,0,0,0,11.249,159.324,153.639,"360,432,400"
2.83,0,0.673,0.673,0.624,0.673,0.624,0,0,0,0,11.221,159.187,153.549,"361,710,600"
2.84,0,0.671,0.671,0.622,0.671,0.622,0,0,0,0,11.193,159.051,153.458,"362,988,700"
2.85,0,0.67,0.67,0.621,0.67,0.621,0,0,0,0,11.165,158.914,153.367,"364,266,800"
2.86,0,0.669,0.669,0.62,0.669,0.62,0,0,0,0,11.138,158.777,153.276,"365,545,000"
2.87,0,0.667,0.667,0.619,0.667,0.619,0,0,0,0,11.11,158.641,153.185,"366,823,100"
2.88,0,0.666,0.666,0.618,0.666,0.618,0,0,0,0,11.083,158.504,153.094,"368,101,200"
2.89,0,0.664,0.664,0.617,0.664,0.617,0,0,0,0,11.056,158.367,153.003,"369,379,400"
2.9,0,0.663,0.663,0.616,0.663,0.616,0,0,0,0,11.029,158.23,152.912,"370,657,500"
2.91,0,0.662,0.662,0.615,0.662,0.615,0,0,0,0,11.001,158.093,152.821,"371,935,600"
2.92,0,0.66,0.66,0.614,0.66,0.614,0,0,0,0,10.974,157.957,152.73,"373,213,800"
2.93,0,0.659,0.659,0.612,0.659,0.612,0,0,0,0,10.947,157.82,152.639,"374,491,900"
2.94,0,0.658,0.658,0.611,0.658,0.611,0,0,0,0,10.921,157.683,152.548,"375,770,000"
2.95,0,0.656,0.656,0.61,0.656,0.61,0,0,0,0,10.894,157.546,152.457,"377,048,200"
2.96,0,0.655,0.655,0.609,0.655,0.609,0,0,0,0,10.867,157.409,152.366,"378,326,300"
2.97,0,0.653,0.653,0.608,0.653,0.608,0,0,0,0,10.84,157.272,152.275,"379,604,400"
2.98,0,0.652,0.652,0.607,0.652,0.607,0,0,0,0,10.814,157.135,152.184,"380,882,500"
2.99,0,0.651,0.651,0.606,0.651,0.606,0,0,0,0,10.787,156.998,152.093,"382,160,700"
3,0,0.649,0.649,0.605,0.649,0.605,0,0,0,0,10.761,156.861,152.002,"383,438,800"
